Percival;['Bergamot', ' Mandarin orange', ' pink pepper'];['Lavender', ' Coriander', ' Geranium', ' Jasmine', ' Violet', ' Cinnamon'];['Balsam fir', ' Musk', ' Pepper', ' Spices', ' Tonka bean'];Eau de Parfum;2018;Hamid Merati Kashani
Amyris Homme;['Caribbean Amyris', ' Mandarin Orange'];['Iris', ' Rosemary', 'Saffron'];['Tonka bean Absolute', ' Cedar'];Eau de Toilette;2011;Francis Kurkdjian
Acqua di Gio Profondo ;['Aquozone', ' Bergamot', ' Green Mandarin'];['Rosemary', ' Lavender', ' Cypress', ' Mastic'];['Mineral Notes', ' Musk', ' Patchouli', ' Amber'];Eau de Parfum;2020;Alberto Morillas 
Black Opium;['Jasmine sambac', ' Orange blossom'];['Bourbon vanilla', ' Bourbon vanilla absolute', ' Coffee', ' Tahitian vanilla absolute', ' Madagascan orchid absolute', ' Indonesian patchouli'];Parfum;2022;Nathalie Lorson, Marie Salamange, Honorine Blanc, Oliver Cresp;YSL
Hundred Silent Ways;['Gardenia', ' Iris', ' Jasmine'];['Vanilla', ' Sandalwood', ' Vetiver'];Extrait de Parfum;2016;N/a;Nishane
Rouge Malachite;['Tuberose', ' Jasmine sambac absolute', ' Orange blossom', ' Ylang Ylang'];['Amber Xtreme', ' Benzoin', ' Cashmere wood'];Eau de Parfum;2016;Pascal Gaurin;Armani Prive
Naxos;['Honey', ' Cashmere', ' Cinnamon', ' Jasmine sambac'];['Tobacco', ' Tonka bean', ' Vanilla'];Parfum;2015;N/A;Xerjoff
Daniel Josier;Ambre Tabac;['African Frankincense', ' Bergmot'];['Sandalwood', ' Patchouli'];['Tobacco', ' Vanilla', ' Amber'];Parfum;2020;Daniel Josier
Atelier des ors;Pomelo Riviera;['Grapefruit', 'Jasmine', 'Bergamot'];['Orange blossom', 'Salt', 'Rose'];['Cedar'];Eau de Parfum;2020;N/A
Parfums De Marly;Oajan;['Cinnamon', ' Honey', ' Osmanthus'];['Benzoin', ' Ambergris', ' Labdanum', ' Artemisia'];['Tonka Bean', ' Vanilla'];Eau De Parfum ;2013;N/A
Atelier Des Ors;Rose Omeyyade;['Rose', ' Raspberry', ' Pink Pepper'];['Brown Sugar', ' Patchoul', ' Guaiac Wood'];['Oud', ' Amber', ' Sandalwood '];Eau de Parfum ;2015;Marie Salamagne
Atelier Des Ors;Lune Feline;['Bergamot', ' Cinnamon', ' Davana'];['Rose', ' Jasmine', ' Osmanthus', ' Geranium'];['Patchouli', ' Vanilla', ' Sandalwood', ' Amber'];Eau de Parfum ;2015;Marie Salamagne
Armani Prive;Bleu Lazuli;['Cardamom', ' Mate', ' Bergamot'];['Osmanthus', ' Plum', ' Jasmine'];['Vanilla', ' Honeyed Tobacco', ' Sandalwood'];Eau de Parfum;2018;Pascal Gaurin
